model,metric,status,notes
DV-QNN,state_purity,computable_by_rerunning_inference,"rho = |psi><psi| is pure by construction (unitary circuit from vacuum); Tr(rho^2)=1 always for pure states — trivially 1; re-run needed to extract statevector"
DV-QNN,fidelity_class_conditioned_states,computable_by_rerunning_inference,"Requires collecting statevectors per class during inference; |<psi_0|psi_1>|^2; not currently logged"
DV-QNN,trace_distance,computable_by_rerunning_inference,"T(rho0,rho1) = 0.5*||rho0-rho1||_1; requires per-class statevectors from inference pass"
DV-QNN,hilbert_space_dimension,already_computed,"2^n_qubits = 2^4 = 16; documented in circuit manifests and benchmark scripts"
DV-QNN,n_qubits,already_computed,"n_qubits=4; logged in all Q57 result CSVs"
DV-QNN,circuit_depth,already_computed,"depth=1; logged in all Q57 result CSVs"
DV-QNN,n_quantum_layers,already_computed,"1 variational layer per depth; depth=1 => 1 layer"
DV-QNN,n_trainable_quantum_params,already_computed,"theta shape (1,2,4,3)=24 pure quantum params; proj+readout=550 classical; total head=574; logged in Q57 CSVs"
DV-QNN,measurement_entropy,computable_by_rerunning_inference,"S = -sum(p_i * log2(p_i)) over 16 basis states; not currently logged"
DV-QNN,signal_to_noise_ratio,not_currently_supported,"No shot noise in deterministic simulator; SNR concept requires probabilistic sampling mode"
DV-QNN,compression_ratio_cnn_to_quantum,already_computed,"128-dim CNN embedding -> 4-dim quantum input = 32:1 compression; derivable from logged params"
DV-QNN,gradient_norm_barren_plateau_proxy,computable_by_rerunning_inference,"||grad theta|| during training; not logged; requires re-running with gradient logging"
DV-QNN,expressibility_proxy,computable_by_rerunning_inference,"Fidelity variance over Haar-random sampling of theta; not currently implemented in qcore"
DV-QNN,gate_count_per_sample,already_computed,"4H + 8 encoding + 12 variational + 8 CNOT = 32 gates; documented in Q57 validation report"
DV-QNN,unitary_matrix_dim,already_computed,"16x16 unitary (2^4 x 2^4); derivable from n_qubits"
CV-QNN,state_purity,not_applicable,"Gaussian states have purity = 1/(sqrt(det(2*Sigma/hbar))); computable from covariance matrix; not currently logged but formula is available"
CV-QNN,fidelity_class_conditioned_gaussian_states,computable_by_rerunning_inference,"Uhlmann fidelity between two Gaussian states via (mu0,Sigma0) and (mu1,Sigma1); requires per-class (mu,cov) logging during inference"
CV-QNN,state_separation_trace_distance,computable_by_rerunning_inference,"Bhattacharyya distance or quantum fidelity proxy; requires per-class (mu,cov) from inference"
CV-QNN,covariance_matrix_diagnostics,computable_by_rerunning_inference,"Sigma (4x4 matrix) available during forward pass but not logged; requires re-run with logging"
CV-QNN,mean_displacement_separation,computable_by_rerunning_inference,"||mu_class0 - mu_class1||; requires per-class mu logging during inference"
CV-QNN,squeezing_values,already_computed,"tanh(squeezing_raw)*1.5; Q58S logs max_observed=0.03744 mean_observed=0.03719 at init; post-training values in Q62A checkpoints"
CV-QNN,squeezing_cap_utilization,already_computed,"squeezing_cap=1.5; Q58S squeezing_bound_check=PASS; utilization = observed/cap = 0.0375/1.5 = 2.5% at init"
CV-QNN,electronic_noise_proxy,not_applicable,"Deterministic Gaussian simulator; no electronic noise model; not applicable to current architecture"
CV-QNN,shot_noise_quadrature_variance,computable_from_artifacts,"Var(X) = Sigma[0,0]/2 (X-quadrature variance); derivable from covariance matrix if logged"
CV-QNN,signal_to_noise_ratio,not_currently_supported,"Requires shot noise sampling mode; deterministic simulator returns exact quadrature means"
CV-QNN,compression_ratio_cnn_to_cv,already_computed,"128-dim -> 4-dim (2*n_modes=4) = 32:1 compression from encoder; derivable from logged params"
CV-QNN,n_modes,already_computed,"n_modes=2; logged in all Q58 result CSVs"
CV-QNN,circuit_depth,already_computed,"depth=1; logged in all Q58 result CSVs"
CV-QNN,n_gaussian_layers,already_computed,"1 variational layer per depth; depth=1 => 1 Gaussian layer with D+S+R+BS per mode"
CV-QNN,homodyne_measurement_statistics,computable_by_rerunning_inference,"X-quadrature means mu[::2] are the measurement output; per-sample statistics not currently logged"
CV-QNN,gradient_norm_trainability_proxy,computable_by_rerunning_inference,"||grad ansatz_params|| during training; not logged; requires re-run with gradient logging"
CV-QNN,n_trainable_quantum_params,already_computed,"ansatz: disp_real(2)+disp_imag(2)+squeezing_raw(2)+bs_theta(2)+rot_phi(2)=10 pure quantum params; encoder+readout=522 classical; total head=532; logged in Q58 CSVs"
