paradigm,metric,formula_or_source,required_for_computation,when_computable,priority,notes
DV-QNN,state_purity,"Tr(rho^2); rho=|psi><psi| => always 1 for pure state from unitary circuit","statevector |psi> from backend.run()",inference_pass,low,"Always 1 for single-sample pure unitary evolution from vacuum; informative only for noisy or mixed-state simulation"
DV-QNN,class_conditioned_fidelity,"|<psi_class0|psi_class1>|^2; Fidelity between mean class-0 and class-1 states","collect statevectors per class during inference; compute mean class states",inference_pass_with_logging,high,"Key metric for state separation; high fidelity = poor quantum discrimination"
DV-QNN,trace_distance,"T(rho0,rho1) = 0.5*||rho0 - rho1||_1","class-conditioned density matrices rho_c = mean(|psi_i><psi_i|) for c in {0,1}",inference_pass_with_logging,high,"Symmetric bound on distinguishability; T=0 means indistinguishable; T=1 means perfectly distinguishable"
DV-QNN,measurement_entropy_per_sample,"S = -sum_i p_i * log2(p_i) over 16 basis states","16-dim Born-rule probability vector p from current circuit output",inference_pass,medium,"High entropy = diffuse state; low entropy = concentrated; should track across epochs"
DV-QNN,mean_measurement_entropy_by_class,"mean S conditioned on class label","per-sample entropy + class labels",inference_pass,medium,"If class-conditioned entropy differs, circuit is learning class-discriminative structure"
DV-QNN,probability_margin,"max(p_class1_states) - max(p_class0_states) or max p_i - second max p_i","16-dim prob vector",inference_pass,high,"Proxy for quantum decision confidence without classical readout layer"
DV-QNN,born_rule_class_score,"sum of p_i for i in class-1 basis states","16-dim prob vector + class-to-state mapping (proposed: even parity -> class 0; odd parity -> class 1)",design_required,critical,"Core of pure DV-QNN readout; replaces Linear(16->2)"
DV-QNN,hilbert_space_dimension,2^n_qubits,n_qubits=4,already_computed,info,16
DV-QNN,n_qubits,config,config,already_computed,info,4
DV-QNN,circuit_depth,config,config,already_computed,info,1
DV-QNN,n_quantum_layers,depth * 1 variational layer per depth,config,already_computed,info,1
DV-QNN,n_trainable_quantum_params,"depth * 2 * n_qubits * 3 = 1*2*4*3",config,already_computed,info,24
DV-QNN,n_trainable_classical_params,proj(516) + readout(34),config,already_computed,info,550
DV-QNN,quantum_classical_param_ratio,24/550,config,already_computed,info,0.044
DV-QNN,compression_ratio_cnn_to_quantum,128/4,config,already_computed,info,32:1
DV-QNN,gate_count_per_sample,"4H + 8 encoding + 12 variational + 8 CNOT",config,already_computed,info,32
DV-QNN,gradient_norm_theta,"||d_loss/d_theta||_2 at each epoch","gradient tape during training step",training_loop_instrumentation,high,"Proxy for trainability; near-zero gradient = barren plateau"
DV-QNN,gradient_norm_proj,"||d_loss/d_proj||_2 at each epoch","gradient tape during training step",training_loop_instrumentation,medium,"Checks that classical encoder is actually being updated"
DV-QNN,expressibility_proxy,"Var_theta[|<phi_i|phi_j>|^2] over Haar-random theta samples","sample N random theta; run N*(N-1)/2 fidelity pairs",offline_computation,medium,"Low variance = high expressibility; near 1/(2^n+1) for Haar-random"
DV-QNN,entanglement_capability,"Meyer-Wallach measure Q on output states","statevector from circuit",inference_pass_with_logging,medium,"Measures circuit ability to produce entangled states; Q=0 separable; Q=1 maximally entangled"
DV-QNN,snr_proxy,"(mean_prob_correct_class - mean_prob_wrong_class) / std_prob_correct_class","per-sample Born-rule probs + labels",inference_pass,medium,"Operational SNR in measurement space without classical layer"
CV-QNN,state_purity_gaussian,"mu = 1/sqrt(det(2*Sigma/hbar)) for Gaussian state","covariance matrix Sigma from GaussianBackend",inference_pass_with_logging,medium,"Vacuum is pure (purity=1); purity decreases with noise; current deterministic sim always pure"
