model,component,location,trainable,frozen,params,classical_or_quantum,notes
DV-QNN,MobileNetV3-Large backbone,run_q57_dv_qnn_benchmark.py:build_mobilenet_extractor,no,yes,5483032,classical,"ImageNet pretrained; features only; not part of QNN head training"
DV-QNN,Frozen projection 960->128,run_q57_dv_qnn_benchmark.py:build_mobilenet_extractor,no,yes,123008,classical,"Random init seed=42; reduces MobileNet output to 128-dim embedding"
DV-QNN,Projection layer Linear(128->4),dv_hybrid_cnn_qnn.py:proj / run_q57:_DVQNNEmbeddingHead.proj,yes,no,516,classical,"Maps 128-dim embedding to n_qubits=4 inputs for quantum circuit; full classical linear"
DV-QNN,Quantum variational parameters theta,dv_hybrid_cnn_qnn.py:self.theta,yes,no,24,quantum,"Shape (depth=1, 2, n_qubits=4, 3) = 24 angles; RX/RY/RZ per qubit per layer; pure quantum"
DV-QNN,Quantum circuit (medical_ansatz),qcore/ansatz/medical_ansatz.py,no,no,0,"quantum","H-init + data reuploading (torch.atan) + variational (RX/RY/RZ) + ring+cross CNOT; parameterized by theta"
DV-QNN,DV backend (unitary compile+run),qcore/backends/base.py:Backend,no,no,0,quantum,"Compiles circuit to 16x16 unitary matrix; runs |psi>=U|0>; no trainable params"
DV-QNN,Readout layer Linear(16->2),dv_hybrid_cnn_qnn.py:self.readout / run_q57:_DVQNNEmbeddingHead.readout,yes,no,34,classical,"Maps 16-dim probability vector to 2 class logits; classical linear layer"
DV-QNN,TOTAL HEAD TRAINABLE,,,yes,no,574,hybrid,"proj(516) + theta(24) + readout(34) = 574; only 24 are purely quantum parameters"
CV-QNN,MobileNetV3-Large backbone,run_q58_cv_qnn_benchmark.py:build_mobilenet_extractor,no,yes,5483032,classical,"Same as DV-QNN; ImageNet pretrained; frozen"
CV-QNN,Frozen projection 960->128,run_q58_cv_qnn_benchmark.py:build_mobilenet_extractor,no,yes,123008,classical,"Same as DV-QNN; random init seed=42; frozen"
CV-QNN,Encoder Linear(128->4),run_q58:_CVQNNSpineHead.encoder,yes,no,516,classical,"Maps 128-dim embedding to 2*n_modes=4 phase-space coordinates; full classical linear"
CV-QNN,GaussianVariationalAnsatz,qcore/ansatz/cv_spine_ansatz.py:GaussianVariationalAnsatz,yes,no,10,quantum,"disp_real(2)+disp_imag(2)+squeezing_raw(2)+bs_theta(2)+rot_phi(2)=10; pure quantum gate params"
CV-QNN,CV backend (Gaussian symplectic),qcore/backends/cvBackend.py:GaussianBackend,no,no,0,quantum,"Applies symplectic matrices to (mu,cov); no trainable params; vacuum initialization"
CV-QNN,Readout layer Linear(2->2),run_q58:_CVQNNSpineHead.readout,yes,no,6,classical,"Maps 2 homodyne X-quadrature values to 2 class logits; classical linear layer"
CV-QNN,TOTAL HEAD TRAINABLE,,,yes,no,532,hybrid,"encoder(516) + ansatz(10) + readout(6) = 532; only 10 are purely quantum parameters"
CNN-baseline,MobileNetV3-Large backbone,run_q56_cnn_baseline_benchmark.py,no,yes,5483032,classical,"Same backbone as quantum models"
CNN-baseline,Frozen projection 960->128,run_q56_cnn_baseline_benchmark.py,no,yes,123008,classical,"Same frozen projection as quantum models"
CNN-baseline,Classical MLP head,run_q56_cnn_baseline_benchmark.py,yes,no,2250,classical,"2-layer MLP on 128-dim features; ~4x more params than DV-QNN head"
